Medicine,Symptoms Treated,Dosages,Notes,Amazon_Link,1mg_Link,Apollo_Link,Buying_Link
Hydrocortisone,Eczema|Itching,1% cream twice daily|1% cream twice daily,Max 7 days; topical steroid|Avoid long-term use,https://www.amazon.in/s?k=Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone,https://www.apollopharmacy.in/search-result?searchText=Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone
Betamethasone,Eczema|Severe Itching,0.1% cream twice daily|0.1% cream twice daily,Max 14 days; prescription; potent steroid|Avoid face unless directed,https://www.amazon.in/s?k=Betamethasone,https://www.1mg.com/search/all?name=Betamethasone,https://www.apollopharmacy.in/search-result?searchText=Betamethasone,https://www.1mg.com/search/all?name=Betamethasone
Cetirizine,Hives|Allergic Itching,10 mg once daily|10 mg once daily,May cause drowsiness; oral antihistamine|Relieves systemic allergy,https://www.amazon.in/s?k=Cetirizine,https://www.1mg.com/search/all?name=Cetirizine,https://www.apollopharmacy.in/search-result?searchText=Cetirizine,https://www.1mg.com/search/all?name=Cetirizine
Loratadine,Hives|Allergic Rash,10 mg once daily|10 mg once daily,Non-drowsy; oral antihistamine|Take on empty stomach,https://www.amazon.in/s?k=Loratadine,https://www.1mg.com/search/all?name=Loratadine,https://www.apollopharmacy.in/search-result?searchText=Loratadine,https://www.1mg.com/search/all?name=Loratadine
Chlorpheniramine,Allergic Itching|Hives,4 mg every 4-6 hours|4 mg every 4-6 hours,Max 24 mg/day; may cause drowsiness|Antihistamine,https://www.amazon.in/s?k=Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine,https://www.apollopharmacy.in/search-result?searchText=Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine
Fexofenadine,Hives|Allergic Rash,180 mg once daily|180 mg once daily,Non-drowsy; avoid with juice|Oral antihistamine,https://www.amazon.in/s?k=Fexofenadine,https://www.1mg.com/search/all?name=Fexofenadine,https://www.apollopharmacy.in/search-result?searchText=Fexofenadine,https://www.1mg.com/search/all?name=Fexofenadine
Hydroxyzine,Severe Itching|Hives,25-50 mg every 6 hours|25-50 mg every 6 hours,Max 200 mg/day; drowsy|Prescription; sedative,https://www.amazon.in/s?k=Hydroxyzine,https://www.1mg.com/search/all?name=Hydroxyzine,https://www.apollopharmacy.in/search-result?searchText=Hydroxyzine,https://www.1mg.com/search/all?name=Hydroxyzine
Prednisone,Severe Allergic Rash|Eczema Flare,5-60 mg once daily|5-60 mg once daily,Taper dose; prescription; short-term|Systemic steroid,https://www.amazon.in/s?k=Prednisone,https://www.1mg.com/search/all?name=Prednisone,https://www.apollopharmacy.in/search-result?searchText=Prednisone,https://www.1mg.com/search/all?name=Prednisone
Triamcinolone,Eczema|Contact Dermatitis,0.1% cream twice daily|0.1% cream twice daily,Max 14 days; prescription|Avoid eyes and open wounds,https://www.amazon.in/s?k=Triamcinolone,https://www.1mg.com/search/all?name=Triamcinolone,https://www.apollopharmacy.in/search-result?searchText=Triamcinolone,https://www.1mg.com/search/all?name=Triamcinolone
Clobetasol,Severe Eczema|Psoriasis,0.05% cream twice daily|0.05% cream twice daily,Max 2 weeks; prescription; very potent|Avoid large areas,https://www.amazon.in/s?k=Clobetasol,https://www.1mg.com/search/all?name=Clobetasol,https://www.apollopharmacy.in/search-result?searchText=Clobetasol,https://www.1mg.com/search/all?name=Clobetasol
Desloratadine,Hives|Allergic Itching,5 mg once daily|5 mg once daily,Non-drowsy; antihistamine|Take with or without food,https://www.amazon.in/s?k=Desloratadine,https://www.1mg.com/search/all?name=Desloratadine,https://www.apollopharmacy.in/search-result?searchText=Desloratadine,https://www.1mg.com/search/all?name=Desloratadine
Levocetirizine,Hives|Allergic Rash,5 mg once daily|5 mg once daily,May cause mild drowsiness|Oral antihistamine,https://www.amazon.in/s?k=Levocetirizine,https://www.1mg.com/search/all?name=Levocetirizine,https://www.apollopharmacy.in/search-result?searchText=Levocetirizine,https://www.1mg.com/search/all?name=Levocetirizine
Diphenhydramine,Itching (Allergic)|Hives,25-50 mg every 4-6 hours|25-50 mg every 4-6 hours,Max 300 mg/day; drowsy|Over-the-counter antihistamine,https://www.amazon.in/s?k=Diphenhydramine,https://www.1mg.com/search/all?name=Diphenhydramine,https://www.apollopharmacy.in/search-result?searchText=Diphenhydramine,https://www.1mg.com/search/all?name=Diphenhydramine
Calamine Lotion,Itching|Rash,Apply as needed|Apply as needed,Soothing; dries oozing|Safe for frequent use,https://www.amazon.in/s?k=Calamine+Lotion,https://www.1mg.com/search/all?name=Calamine%20Lotion,https://www.apollopharmacy.in/search-result?searchText=Calamine%20Lotion,https://www.1mg.com/search/all?name=Calamine+Lotion
Fluocinonide,Eczema|Severe Rash,0.05% cream twice daily|0.05% cream twice daily,Max 14 days; prescription|High potency steroid,https://www.amazon.in/s?k=Fluocinonide,https://www.1mg.com/search/all?name=Fluocinonide,https://www.apollopharmacy.in/search-result?searchText=Fluocinonide,https://www.1mg.com/search/all?name=Fluocinonide
Tacrolimus,Eczema,0.1% ointment twice daily,Prescription; avoid sunlight; non-steroidal,https://www.amazon.in/s?k=Tacrolimus,https://www.1mg.com/search/all?name=Tacrolimus,https://www.apollopharmacy.in/search-result?searchText=Tacrolimus,https://www.1mg.com/search/all?name=Tacrolimus
Mometasone,Eczema|Allergic Dermatitis,0.1% cream once daily|0.1% cream once daily,Max 3 weeks; prescription|Moderate potency steroid,https://www.amazon.in/s?k=Mometasone,https://www.1mg.com/search/all?name=Mometasone,https://www.apollopharmacy.in/search-result?searchText=Mometasone,https://www.1mg.com/search/all?name=Mometasone
EpiPen (Epinephrine),Anaphylaxis (Severe Allergy),0.3 mg intramuscular,Single use; seek emergency care immediately,https://www.amazon.in/s?k=EpiPen+(Epinephrine),https://www.1mg.com/search/all?name=EpiPen%20(Epinephrine),https://www.apollopharmacy.in/search-result?searchText=EpiPen%20(Epinephrine),https://www.1mg.com/search/all?name=EpiPen+(Epinephrine)
Allegra-D,Allergic Itching|Nasal Congestion,1 tablet (180 mg/240 mg) once daily,Non-drowsy; decongestant combo; avoid hypertension,https://www.amazon.in/s?k=Allegra-D,https://www.1mg.com/search/all?name=Allegra-D,https://www.apollopharmacy.in/search-result?searchText=Allegra-D,https://www.1mg.com/search/all?name=Allegra-D
Cromolyn Sodium,Allergic Rash Prevention,2 sprays per nostril 4 times daily,Max 8 sprays/day; mast cell stabilizer; nasal,https://www.amazon.in/s?k=Cromolyn+Sodium,https://www.1mg.com/search/all?name=Cromolyn%20Sodium,https://www.apollopharmacy.in/search-result?searchText=Cromolyn%20Sodium,https://www.1mg.com/search/all?name=Cromolyn+Sodium
Benadryl Cream,Itching (Local),Apply 2-4 times daily,Max 7 days; topical antihistamine,https://www.amazon.in/s?k=Benadryl+Cream,https://www.1mg.com/search/all?name=Benadryl%20Cream,https://www.apollopharmacy.in/search-result?searchText=Benadryl%20Cream,https://www.1mg.com/search/all?name=Benadryl+Cream
Coal Tar,Psoriasis|Itching,2-5% cream daily,May stain; use sparingly; reduces scaling,https://www.amazon.in/s?k=Coal+Tar,https://www.1mg.com/search/all?name=Coal%20Tar,https://www.apollopharmacy.in/search-result?searchText=Coal%20Tar,https://www.1mg.com/search/all?name=Coal+Tar
Salicylic Acid,Psoriasis|Warts,3-6% cream daily|17% apply daily,Softens skin; prescription strength|Topical; up to 12 weeks,https://www.amazon.in/s?k=Salicylic+Acid,https://www.1mg.com/search/all?name=Salicylic%20Acid,https://www.apollopharmacy.in/search-result?searchText=Salicylic%20Acid,https://www.1mg.com/search/all?name=Salicylic+Acid
Urea Cream,Dry Skin|Eczema,10-40% cream twice daily|10-40% cream twice daily,Moisturizes; non-medicated|Safe for chronic use,https://www.amazon.in/s?k=Urea+Cream,https://www.1mg.com/search/all?name=Urea%20Cream,https://www.apollopharmacy.in/search-result?searchText=Urea%20Cream,https://www.1mg.com/search/all?name=Urea+Cream
Pimecrolimus,Eczema,1% cream twice daily,Prescription; non-steroidal; avoid UV exposure,https://www.amazon.in/s?k=Pimecrolimus,https://www.1mg.com/search/all?name=Pimecrolimus,https://www.apollopharmacy.in/search-result?searchText=Pimecrolimus,https://www.1mg.com/search/all?name=Pimecrolimus
Antihistamine Eye Drops (Olopatadine),Eye Itching (Allergic),1 drop per eye twice daily,Max 2 drops/day per eye; for allergic conjunctivitis,https://www.amazon.in/s?k=Antihistamine+Eye+Drops+(Olopatadine),https://www.1mg.com/search/all?name=Antihistamine%20Eye%20Drops%20(Olopatadine),https://www.apollopharmacy.in/search-result?searchText=Antihistamine%20Eye%20Drops%20(Olopatadine),https://www.1mg.com/search/all?name=Antihistamine+Eye+Drops+(Olopatadine)
Ketotifen,Eye Itching (Allergic),1 drop per eye twice daily,Over-the-counter; antihistamine eye drop,https://www.amazon.in/s?k=Ketotifen,https://www.1mg.com/search/all?name=Ketotifen,https://www.apollopharmacy.in/search-result?searchText=Ketotifen,https://www.1mg.com/search/all?name=Ketotifen
Moisturizing Cream (Cetaphil),Dry Skin|Rash Irritation,Apply as needed|Apply as needed,Non-medicated; hydrates|Safe for sensitive skin,https://www.amazon.in/s?k=Moisturizing+Cream+(Cetaphil),https://www.1mg.com/search/all?name=Moisturizing%20Cream%20(Cetaphil),https://www.apollopharmacy.in/search-result?searchText=Moisturizing%20Cream%20(Cetaphil),https://www.1mg.com/search/all?name=Moisturizing+Cream+(Cetaphil)
Zinc Oxide,Rash (Diaper)|Itching,Apply thick layer as needed|Apply as needed,Protective barrier; safe for frequent use|Soothing,https://www.amazon.in/s?k=Zinc+Oxide,https://www.1mg.com/search/all?name=Zinc%20Oxide,https://www.apollopharmacy.in/search-result?searchText=Zinc%20Oxide,https://www.1mg.com/search/all?name=Zinc+Oxide
Permethrin,Scabies Itching,"5% cream, apply once",Single application; repeat in 7 days if needed,https://www.amazon.in/s?k=Permethrin,https://www.1mg.com/search/all?name=Permethrin,https://www.apollopharmacy.in/search-result?searchText=Permethrin,https://www.1mg.com/search/all?name=Permethrin
Ivermectin,Scabies (Severe),200 mcg/kg single dose,Prescription; may repeat in 7-14 days,https://www.amazon.in/s?k=Ivermectin,https://www.1mg.com/search/all?name=Ivermectin,https://www.apollopharmacy.in/search-result?searchText=Ivermectin,https://www.1mg.com/search/all?name=Ivermectin
Sulfur Ointment,Scabies|Rash,5-10% apply daily,7-10 days; may irritate; traditional remedy,https://www.amazon.in/s?k=Sulfur+Ointment,https://www.1mg.com/search/all?name=Sulfur%20Ointment,https://www.apollopharmacy.in/search-result?searchText=Sulfur%20Ointment,https://www.1mg.com/search/all?name=Sulfur+Ointment
Benzoyl Peroxide,Acne|Rash,2.5-10% apply once daily|2.5-10% apply once daily,Topical; may bleach fabrics|Avoid overuse,https://www.amazon.in/s?k=Benzoyl+Peroxide,https://www.1mg.com/search/all?name=Benzoyl%20Peroxide,https://www.apollopharmacy.in/search-result?searchText=Benzoyl%20Peroxide,https://www.1mg.com/search/all?name=Benzoyl+Peroxide
Erythromycin,Acne|Infected Rash,250-500 mg twice daily|250-500 mg twice daily,Prescription; systemic antibiotic|Topical also available,https://www.amazon.in/s?k=Erythromycin,https://www.1mg.com/search/all?name=Erythromycin,https://www.apollopharmacy.in/search-result?searchText=Erythromycin,https://www.1mg.com/search/all?name=Erythromycin
Clindamycin,Acne|Infected Rash,1% gel twice daily|1% gel twice daily,Prescription; topical antibiotic|Avoid oral use concurrently,https://www.amazon.in/s?k=Clindamycin,https://www.1mg.com/search/all?name=Clindamycin,https://www.apollopharmacy.in/search-result?searchText=Clindamycin,https://www.1mg.com/search/all?name=Clindamycin
Azelaic Acid,Acne|Rosacea,15-20% cream twice daily|15-20% cream twice daily,Prescription; reduces inflammation|May lighten skin,https://www.amazon.in/s?k=Azelaic+Acid,https://www.1mg.com/search/all?name=Azelaic%20Acid,https://www.apollopharmacy.in/search-result?searchText=Azelaic%20Acid,https://www.1mg.com/search/all?name=Azelaic+Acid
Metronidazole,Rosacea,0.75-1% gel twice daily,Prescription; topical; reduces redness,https://www.amazon.in/s?k=Metronidazole,https://www.1mg.com/search/all?name=Metronidazole,https://www.apollopharmacy.in/search-result?searchText=Metronidazole,https://www.1mg.com/search/all?name=Metronidazole
Doxycycline,Rosacea|Acne,40 mg once daily|100 mg twice daily,Prescription; low dose for rosacea|Antibiotic for acne,https://www.amazon.in/s?k=Doxycycline,https://www.1mg.com/search/all?name=Doxycycline,https://www.apollopharmacy.in/search-result?searchText=Doxycycline,https://www.1mg.com/search/all?name=Doxycycline
Calcipotriene,Psoriasis,0.005% cream twice daily,Max 100 g/week; prescription; vitamin D analog,https://www.amazon.in/s?k=Calcipotriene,https://www.1mg.com/search/all?name=Calcipotriene,https://www.apollopharmacy.in/search-result?searchText=Calcipotriene,https://www.1mg.com/search/all?name=Calcipotriene
Silver Sulfadiazine,Burn Rash (Infection),1% cream apply 1-2 times daily,Prescription; for burns; keep covered,https://www.amazon.in/s?k=Silver+Sulfadiazine,https://www.1mg.com/search/all?name=Silver%20Sulfadiazine,https://www.apollopharmacy.in/search-result?searchText=Silver%20Sulfadiazine,https://www.1mg.com/search/all?name=Silver+Sulfadiazine
Hydrocolloid Dressing,Blister Rash,Apply and change every 3-7 days,Non-medicated; promotes healing,https://www.amazon.in/s?k=Hydrocolloid+Dressing,https://www.1mg.com/search/all?name=Hydrocolloid%20Dressing,https://www.apollopharmacy.in/search-result?searchText=Hydrocolloid%20Dressing,https://www.1mg.com/search/all?name=Hydrocolloid+Dressing
Aloe Vera Gel,Mild Rash|Itching,Apply as needed|Apply as needed,Natural; soothing|Safe for minor irritation,https://www.amazon.in/s?k=Aloe+Vera+Gel,https://www.1mg.com/search/all?name=Aloe%20Vera%20Gel,https://www.apollopharmacy.in/search-result?searchText=Aloe%20Vera%20Gel,https://www.1mg.com/search/all?name=Aloe+Vera+Gel
Antifungal Cream (Clotrimazole),Fungal Rash|Itching,1% cream twice daily|1% cream twice daily,2-4 weeks; over-the-counter|For ringworm or yeast,https://www.amazon.in/s?k=Antifungal+Cream+(Clotrimazole),https://www.1mg.com/search/all?name=Antifungal%20Cream%20(Clotrimazole),https://www.apollopharmacy.in/search-result?searchText=Antifungal%20Cream%20(Clotrimazole),https://www.1mg.com/search/all?name=Antifungal+Cream+(Clotrimazole)
Terbinafine,Fungal Rash,1% cream twice daily,2-4 weeks; over-the-counter; antifungal,https://www.amazon.in/s?k=Terbinafine,https://www.1mg.com/search/all?name=Terbinafine,https://www.apollopharmacy.in/search-result?searchText=Terbinafine,https://www.1mg.com/search/all?name=Terbinafine
Mupirocin,Bacterial Rash (Impetigo),2% ointment three times daily,10-day course; prescription; topical,https://www.amazon.in/s?k=Mupirocin,https://www.1mg.com/search/all?name=Mupirocin,https://www.apollopharmacy.in/search-result?searchText=Mupirocin,https://www.1mg.com/search/all?name=Mupirocin
Neomycin,Minor Skin Infection|Rash,Apply 1-3 times daily,Max 7 days; over-the-counter; antibiotic,https://www.amazon.in/s?k=Neomycin,https://www.1mg.com/search/all?name=Neomycin,https://www.apollopharmacy.in/search-result?searchText=Neomycin,https://www.1mg.com/search/all?name=Neomycin
